RA,DEC,z,M500
148.4,70.908,0.185,2.0027
148.436,69.791,0.214,0.8494
149.012,41.119,0.587,2.307
149.11,-10.07,0.1634,5.2302
149.472,65.575,0.53,1.6192
149.507,-26.838,0.145,1.9096
149.543,23.782,0.1471,1.974
149.554,55.268,0.214,1.6286
149.58,47.038,0.39,2.2502
149.592,-11.06,0.1669,5.0282
149.939,22.393,0.244,3.0604
150.127,44.154,0.154,2.5495
150.532,68.98,0.5,2.3024
150.661,32.7,0.0499,0.944
150.668,-8.146,0.524,1.5235
150.767,32.908,0.4161,4.2551
150.777,-19.43,0.243,1.3539
150.783,67.158,0.206,3.3203
151.665,25.91,0.1162,2.106
151.723,12.393,0.166,1.2028
151.785,-20.524,0.105,0.3427
151.954,0.517,0.096,1.0893
152.199,53.701,0.872,2.0401
152.199,11.793,0.2245,3.8829
152.335,71.175,0.1927,3.3654
152.566,54.503,0.045,0.1548
152.567,54.488,0.047,0.405
152.634,-12.665,0.3062,2.8384
152.743,55.963,0.171,0.3491
152.751,53.968,0.372,1.1079
152.771,53.658,0.329,0.6786
152.846,53.563,0.39,0.9237
152.856,54.835,0.294,1.374
153.366,-1.612,0.276,1.3867
153.4,-13.842,0.1517,2.9492
153.404,49.551,0.133,0.8937
153.418,-0.914,0.0445,1.1377
153.437,-0.108,0.0927,1.5413
153.785,49.526,0.383,1.2769
154.094,33.635,0.124,2.2642
154.15,24.808,0.0811,1.1353
154.26,39.048,0.206,4.7297
154.348,-10.677,0.0586,1.8484
154.398,59.567,0.353,7.6611
154.504,21.91,0.24,1.2055
154.905,39.342,0.373,0.8982
154.999,40.987,0.0922,1.4331
155.066,39.229,0.1463,0.4088
155.12,-6.52,0.054,0.8481
155.127,39.38,0.143,0.3323
155.189,38.524,0.053,0.3232
155.247,51.549,0.5019,1.16
155.52,38.512,0.0491,0.7013
155.628,50.102,0.158,3.8822
155.775,41.413,0.232,0.6427
155.829,59.808,0.2055,2.1364
155.912,4.187,0.285,9.7115
155.922,49.133,0.144,4.2256
155.962,-27.258,0.2542,7.7124
156.08,68.082,0.201,1.6292
156.274,47.837,0.052,0.4213
156.483,12.685,0.1434,3.4836
156.795,39.135,0.338,2.5996
156.999,-6.796,0.1176,1.9936
157.088,3.769,0.073,0.9041
157.932,35.049,0.1259,3.594
158.062,40.265,0.079,1.7119
158.466,57.053,0.0463,0.128
158.747,30.694,0.1407,2.8267
159.047,57.225,0.203,0.8825
159.174,-27.524,0.0126,0.9944
159.508,41.777,0.125,0.6214
159.601,-24.903,0.123,2.4054
159.866,5.18,0.07,1.5924
159.88,39.794,0.0926,0.3522
159.935,-8.684,0.065,1.4622
160.183,39.948,0.1372,4.1023
160.187,-70.797,0.061,1.7603
160.392,-11.389,0.0839,1.3071
160.601,-0.138,0.139,0.8101
161.138,-7.073,0.1342,4.5308
161.885,15.233,0.2108,2.7446
162.003,-11.403,0.065,0.224
162.19,22.24,0.045,0.4046
162.261,54.4,0.251,0.7337
162.437,33.144,0.23,0.6619
162.606,-12.846,0.0155,0.4109
162.648,-2.6,0.1651,3.1422
162.651,-24.096,0.2037,3.926
163.327,57.346,0.34,0.4874
163.433,54.872,0.0704,1.1937
163.434,49.499,0.14,2.5785
163.451,16.84,0.0852,1.5577
164.053,49.553,0.199,0.6924
164.248,-3.625,0.8309,3.3929
164.432,37.635,0.0353,0.261
164.543,1.587,0.0398,0.4388
