RA,DEC,z,M500
346.3217290863891,13.539992067549587,0.0481,1.69815
342.30678174479124,19.713890187457736,-1.0,0.0
231.5690116258904,54.14307465194272,0.748,5.157697
334.0988352973662,30.42511936179122,0.25770137,4.1464
247.38869611522662,58.53381007207024,0.1329,2.5615215
328.98230894762276,37.9995794689121,0.292,7.8310285
224.7806173381905,52.80202647388784,0.702346,4.915402
328.221494849692,39.064584248183586,-1.0,0.0
208.42590117928125,43.48347151065648,0.68,5.7497635
355.9172488700218,0.3020789424451429,0.27,5.1834126
215.52989747249492,48.47688288837164,0.07007737,1.8283817
346.8005849107078,16.509778702528422,0.2502,6.062336
349.1767546670961,12.81250397699816,0.52370894,6.277305
260.837298032558,60.984091143855345,0.267,3.5740595
330.91789891689007,38.08948587335572,-1.0,0.0
261.9435806722631,61.50864776937242,0.307,4.385515
353.73004873374026,5.665966462563388,0.19671729,4.3189316
347.3346165992582,17.895274702417733,-1.0,0.0
353.5027673941861,7.057287688122735,0.099,2.682528
309.0663097726643,54.983562349448434,-1.0,0.0
341.3603157241421,28.14441465231483,0.36173514,6.3128715
277.7835360313926,62.248093788466996,0.822,7.4314303
345.40590193438805,22.48325419915264,-1.0,0.0
0.7878387434768469,-6.072208445774302,0.232,5.9573526
356.17579813811693,3.0935927334527333,0.349,5.1368775
301.02806060086135,58.72759377024436,-1.0,0.0
346.45894942510216,21.32443380940897,-1.0,0.0
289.18592176749604,61.680236221244684,-1.0,0.0
216.63471117878427,51.25208974417859,-1.0,0.0
203.8013920863991,41.00039651463272,0.2279,8.126019
345.4275890886805,24.040251637089977,-1.0,0.0
335.9786463180127,38.00703556272437,-1.0,0.0
351.0862392286348,14.607465746170481,0.0428,1.8199611
345.18392678121273,25.611368283336137,-1.0,0.0
258.18452453486486,64.05898905469913,0.0809,5.3828144
8.850112713326197,-20.27083765828011,0.352,7.0069904
303.3307120379302,59.834015268992516,-1.0,0.0
349.36557879973077,18.70104400026462,0.0422,2.2194111
275.4863648587471,64.34884471003093,0.3315,6.7765923
333.2398926755312,42.578791915303654,-1.0,0.0
255.2898019526856,64.23911547100306,0.453,4.085831
3.202984451799367,-8.950523613622568,0.35211053,5.450527
227.06135042522817,57.891782661834064,0.5392,5.8672504
350.9895809659966,16.765462100357283,0.0416,1.7643043
278.10488457535325,64.8278209787507,0.1623,3.0726151
349.3564145777424,20.57362210502079,-1.0,0.0
207.85258000330438,46.35574164604328,0.0625,1.5019081
238.1345928999188,62.05447674728255,0.33078483,4.034956
303.62026715431494,61.38911215768755,0.119,3.1791
300.03885720845165,62.444015097063804,0.3,4.718108
355.50891322925946,9.143197170621947,0.48806635,6.000246
334.7027678810409,43.513367057587956,-1.0,0.0
307.82857840432956,60.91093159143556,-1.0,0.0
218.83875087412983,55.14134974316738,0.13977271,2.7712498
342.03622918401106,35.555965675879406,-1.0,0.0
356.28448325398676,9.180915660312682,0.04,1.4719905
356.25143168681524,9.267784739674966,0.06872333,2.0029292
223.24877482118615,58.03657737223883,0.3179,4.9242787
284.1703693165434,66.37790626140722,0.3,4.6896386
357.74227843322143,6.154395298200725,0.0562,1.8562024
246.90343489742907,65.39631723356307,0.2058,2.9448733
340.67889681930995,39.28211537080798,-1.0,0.0
223.81618217887748,58.87524098677944,0.7,5.1793666
339.37648337493744,41.27839317629382,-1.0,0.0
248.97764368128404,66.20231358904307,0.1709,6.585151
231.05254890686635,62.02270941732306,0.3378,3.428005
296.0803526841998,65.8456966734572,0.245,3.983875
