RA,DEC,max_pred,galmask,psmask,CO_mask,mpp_er
229.46330627251098,-10.235127027660699,5.015,0,1,0,0.270944981816383
239.475607645271,47.9992963450529,5.015028,1,1,1,0.27094514675554776
356.052804768059,23.9813581357325,5.01505,1,1,1,0.27094527635060583
177.6566674776,-23.915057315661397,5.015055,1,1,1,0.27094530580402815
326.741006189547,21.6975928379137,5.015079,0,1,1,0.2709454471804551
342.8351908732201,-84.32489125203901,5.015193,0,1,0,0.27094611871848323
182.17562868735598,-30.163800811767807,5.015231,1,1,1,0.27094634256449257
163.63401428281,-3.82974234479568,5.015345,1,1,1,0.2709470141025207
15.8976393774234,-8.393401574676929,5.015373,1,1,1,0.2709471790416855
67.369092997119,-34.890663971048795,5.015718,1,1,1,0.27094921132782324
18.8449857731851,0.42709257842952797,5.015721,1,1,1,0.2709492289998766
309.447798335213,-38.728500367473394,5.015728,1,1,1,0.2709492702346678
207.687386686838,26.178929400391606,5.015735,1,1,1,0.270949311469459
327.948815855087,-67.3227248237557,5.015811,1,1,1,0.2709497591614778
32.0519125268186,2.09099266514238,5.015866,1,1,1,0.2709500831491229
214.440536146288,16.7755473938468,5.015943,1,1,1,0.2709505367318261
348.223515544468,36.2689733982087,5.016076,0,1,1,0.27095132019285895
43.114830346472594,-51.041112014311295,5.01613,1,1,1,0.2709516382898196
64.5553987060723,7.047038798487389,5.016165,0,1,0,0.2709518444637756
328.320646765294,5.844081315073099,5.016255,1,1,1,0.27095237462537675
206.00405024201802,79.512406644046,5.016266000000001,1,1,1,0.2709524394229058
253.32397549449902,10.984574552876198,5.016284,1,1,1,0.270952545455226
38.4382821442505,23.802272234327397,5.016353,0,1,0,0.27095295191245355
271.908875658263,28.2197050043563,5.016392,1,1,1,0.2709531816491474
249.70752913347,31.1279216620404,5.016493,1,1,1,0.2709537766082776
131.489087950575,13.132109629329696,5.0165120000000005,1,1,1,0.27095388853128227
238.698568638391,56.3219113753127,5.016623,1,1,1,0.270954542397257
240.339420884089,53.9380770057203,5.016723000000002,1,1,1,0.2709551314657027
121.135655768585,67.1025599622331,5.016743,1,1,1,0.27095524927939185
150.665531498622,67.4330603049889,5.016799,1,0,1,0.27095557915772145
322.51677285196604,86.66797739278721,5.016864,0,0,0,0.2709559620522112
154.875274955714,-14.697725941086599,5.016902,1,1,1,0.27095618589822057
