RA,DEC,p_max,precisionX,s/n,id
200.60334419679933,16.504588326725806,0.2327847280539572,0.4311324121442455,-1.0,SZ_G338.54+77.18
179.63888615721928,47.12301772541323,0.2327853972092271,0.4311329213589733,-1.0,SZ_G146.89+67.47
355.7741725328367,-5.3799245712100925,0.2328291600570083,0.4311662240730453,-1.0,SZ_G083.09-62.84
308.69271792626665,-13.00306722012565,0.2328394427895546,0.4311740490414655,-1.0,SZ_G032.50-28.72
222.95719791126487,9.632270956321744,0.2328437780961394,0.431177348129229,-1.0,SZ_G007.04+56.66
273.6091306308795,0.1844215827733202,0.2328775394707918,0.4312030399080718,-1.0,SZ_G028.85+08.31
297.7690197973588,-41.49597381182311,0.2329136650077998,0.4312305307705424,-1.0,SZ_G358.20-28.27
73.41171308180111,-1.780012805091468,0.2329250131733715,0.4312391665136997,-1.0,SZ_G200.21-26.84
214.5085881529861,37.88497264070754,0.2329252576455474,0.4312393525524834,-1.0,SZ_G068.99+68.89
144.91763129245138,-48.18754421233504,0.2329613026231528,0.4312667821107453,-1.0,SZ_G273.21+03.30
162.41315713910836,36.10949132346956,0.2329662810079753,0.4312705705690997,6.3926940000000005,SZ_G186.12+62.70
123.19741416250672,5.494766361702896,0.2330166860483587,0.4313089278683336,5.5945480000000005,SZ_G217.38+20.58
259.4313753014843,51.59161918351509,0.2330171982757747,0.4313093176638802,5.636324,SZ_G078.66+35.25
345.6511422872944,35.59201687022829,0.2330188136547804,0.4313105469372908,5.227752,SZ_G099.25-22.23
28.365454484083447,25.829831847708245,0.23303690738976,0.4313243159334387,5.155468,SZ_G140.01-34.98
27.81149721786032,-30.33157789811289,0.2330486215651036,0.4313332302032322,-1.0,SZ_G230.20-76.51
284.01409290830844,-63.68074063641625,0.2331285439431668,0.4313940496480246,-1.0,SZ_G332.12-24.62
244.67629184401275,-82.46323342500521,0.2331469231285155,0.4314080358665999,-1.0,SZ_G309.33-22.33
65.5620830215001,43.16758228644564,0.2331570368260145,0.4314157322024897,-1.0,SZ_G158.53-04.67
26.28126861575488,12.78015874642236,0.2331807045266032,0.4314337428829049,-1.0,SZ_G142.71-48.02
132.9606679215621,-10.146026787114046,0.2331848032772541,0.4314368619559977,5.111896,SZ_G237.08+21.04
333.8662405097684,-25.535063784625287,0.2332204550504685,0.4314639922930236,-1.0,SZ_G026.51-55.16
101.04951406622244,39.78428972040906,0.2332449345849454,0.4314826207639443,-1.0,SZ_G175.85+15.68
1.0939326651518388,-25.787432788911467,0.2332637221552432,0.4314969177558783,-1.0,SZ_G037.53-79.39
244.008831595443,33.34092854215282,0.2332840766757727,0.4315124071678255,-1.0,SZ_G053.97+45.81
44.33029672261353,68.4215363759235,0.2332988576963544,0.4315236552498649,-1.0,SZ_G134.12+08.33
201.43504215104176,26.14470708726868,0.233335523866117,0.4315515575238171,-1.0,SZ_G027.56+82.27
18.74580044517071,-41.848414024849305,0.2334117870777845,0.4316095924109677,6.180143,SZ_G286.31-74.51
194.93947237566329,-64.18144798793742,0.233415640558174,0.4316125248379485,-1.0,SZ_G303.84-01.32
325.1977110355585,49.84042355820256,0.2334232442080974,0.4316183110742687,-1.0,SZ_G094.44-02.18
170.94027898001386,8.742931827905021,0.2334683653898537,0.4316526474552585,5.588729,SZ_G250.40+62.30
57.200060528603935,-12.926057755866209,0.2334842192940414,0.4316647119817886,-1.0,SZ_G203.04-46.25
286.8887333248024,30.34971916039875,0.2334977705031633,0.4316750242001564,-1.0,SZ_G061.94+10.16
277.97819681382225,44.93024251357557,0.2335050269030034,0.4316805461856149,5.00664,SZ_G073.37+22.06
248.1127352311155,-71.91948306480894,0.2335612382739782,0.4317233219945504,-1.0,SZ_G318.32-16.02
346.5145903478031,21.89485229406112,0.2335639805525069,0.4317254088175607,-1.0,SZ_G092.86-34.75
